incident_id,created_at,clinic_id,country,patient_id,category,status,satisfaction_score,description
INC-0081,2026-07-01,us-tx-001,US,HC-000081,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0082,2026-07-01,us-fl-001,US,HC-000082,BILLING,DISCARDED,,"Billing workflow issue"
INC-0083,2026-07-01,us-ga-001,US,HC-000083,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0084,2026-07-01,uk-lon-001,UK,HC-000084,BILLING,DISCARDED,,"Billing workflow issue"
INC-0085,2026-07-01,uk-man-001,UK,HC-000085,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0086,2026-07-01,us-tx-001,US,HC-000086,BILLING,DISCARDED,,"Billing workflow issue"
INC-0087,2026-07-01,us-fl-001,US,HC-000087,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0088,2026-07-01,us-ga-001,US,HC-000088,BILLING,DISCARDED,,"Billing workflow issue"
INC-0089,2026-07-01,uk-lon-001,UK,HC-000089,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0090,2026-07-01,uk-man-001,UK,HC-000090,BILLING,DISCARDED,,"Billing workflow issue"
INC-0091,2026-07-01,us-tx-001,US,HC-000091,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0092,2026-07-01,us-fl-001,US,HC-000092,BILLING,DISCARDED,,"Billing workflow issue"
INC-0093,2026-07-01,us-ga-001,US,HC-000093,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0094,2026-07-01,uk-lon-001,UK,HC-000094,BILLING,DISCARDED,,"Billing workflow issue"
INC-0095,2026-07-01,us-999,US,HC-000095,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0096,2026-07-01,us-tx-001,UK,HC-000096,BILLING,DISCARDED,,"Billing workflow issue"
INC-0097,2026-07-01,us-fl-001,US,BAD-000001,APPOINTMENT,DISCARDED,,"Appointment access issue"
INC-0098,2026-07-01,us-ga-001,US,HC-000098,CLAIMS,DISCARDED,,"Billing workflow issue"
INC-0099,2026-07-01,uk-lon-001,UK,HC-000099,APPOINTMENT,PENDING,,"Appointment access issue"
INC-0100,2026-07-01,uk-man-001,,HC-000100,BILLING,DISCARDED,,"Billing workflow issue"
